City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
0,Akonolinga,CM,3.77,12.25,67.66,98,100,2.95,light rain,0.88,0.0
1,Nortelandia,BR,-14.45,-56.8,67.46,92,0,2.89,clear sky,0.0,0.0
2,Russell,US,32.35,-85.2,86.0,79,75,1.72,broken clouds,0.0,0.0
3,San Pedro,PH,14.35,121.02,82.4,88,90,3.36,overcast clouds,0.0,0.0
4,Alta Floresta,BR,-9.88,-56.09,73.26,58,0,2.73,clear sky,0.0,0.0
5,Vila Velha,BR,-20.33,-40.29,75.2,73,0,9.17,clear sky,0.0,0.0
6,Ribeira Grande,PT,38.52,-28.7,67.1,94,97,6.76,overcast clouds,0.0,0.0
7,Qaanaaq,GL,77.48,-69.36,40.08,71,0,0.98,clear sky,0.0,0.0
8,Nelson Bay,AU,-32.72,152.15,59.0,77,90,5.82,overcast clouds,0.0,0.0
9,Vaini,TO,-21.2,-175.2,78.8,83,75,9.17,broken clouds,0.0,0.0
10,Northam,GB,51.03,-4.22,55.99,88,11,15.99,light rain,0.13,0.0
11,Adre,TD,13.47,22.2,79.99,44,43,2.82,scattered clouds,0.0,0.0
12,Port Alfred,ZA,-33.59,26.89,61.86,60,99,30.82,overcast clouds,0.0,0.0
13,Hobart,AU,-42.88,147.33,44.6,81,20,9.17,few clouds,0.0,0.0
14,Tiksi,RU,71.69,128.87,45.46,85,98,12.53,overcast clouds,0.0,0.0
15,Mahebourg,MU,-20.41,57.7,71.6,78,20,11.41,few clouds,0.0,0.0
16,Lagoa,PT,39.05,-27.98,66.45,96,100,12.82,overcast clouds,0.0,0.0
17,Avarua,CK,-21.21,-159.78,75.2,64,0,18.34,clear sky,0.0,0.0
18,Tautira,PF,-17.73,-149.15,82.4,61,20,6.93,few clouds,0.0,0.0
19,Hilo,US,19.73,-155.09,84.2,62,40,9.17,scattered clouds,0.0,0.0
20,Arteni,AM,40.3,43.76,62.6,76,40,10.29,scattered clouds,0.0,0.0
21,Bluff,NZ,-46.6,168.33,49.55,96,100,11.68,light rain,0.31,0.0
22,Nikolskoye,RU,59.7,30.79,69.8,64,75,6.71,light intensity shower rain,0.0,0.0
23,Ushuaia,AR,-54.8,-68.3,35.6,59,20,16.11,few clouds,0.0,0.0
24,Rocha,UY,-34.48,-54.33,41.34,84,0,2.98,clear sky,0.0,0.0
25,Ahipara,NZ,-35.17,173.17,59.31,62,3,15.61,clear sky,0.0,0.0
