City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Russell,US,86.0,broken clouds,32.35,-85.2,Macs
3,San Pedro,PH,82.4,overcast clouds,14.35,121.02,OYO 412 Viewfort Venue
5,Vila Velha,BR,75.2,clear sky,-20.33,-40.29,Hotel Vitória Palace
9,Vaini,TO,78.8,broken clouds,-21.2,-175.2,Keleti Beach Resort
11,Adre,TD,79.99,scattered clouds,13.47,22.2,
17,Avarua,CK,75.2,clear sky,-21.21,-159.78,Paradise Inn
18,Tautira,PF,82.4,few clouds,-17.73,-149.15,Pension Oaoa
19,Hilo,US,84.2,scattered clouds,19.73,-155.09,Hilo Hawaiian Hotel
31,Padang,ID,80.96,scattered clouds,-0.95,100.35,Mercure Padang
32,Butaritari,KI,82.8,scattered clouds,3.07,172.79,Isles Sunset Lodge
33,Salalah,OM,82.4,broken clouds,17.02,54.09,HAMDAN PLAZA HOTEL
35,Acapulco,MX,87.8,broken clouds,16.86,-99.89,HS Hotsson Smart Acapulco
38,Georgetown,MY,82.4,few clouds,5.41,100.34,Cititel Penang
42,Bengkulu,ID,79.34,clear sky,-3.8,102.27,Grage Hotel Bengkulu
51,Bilma,NE,85.44,clear sky,18.69,12.92,Expeditions Ténére voyages
54,Garowe,SO,78.76,overcast clouds,8.41,48.48,Curubo Hotel
55,Tabou,CI,75.85,overcast clouds,4.42,-7.35,hotêl doufoulougou
59,Kijang,KR,80.6,clear sky,35.24,129.21,Brown Dot Gijang Yeonhwari
66,Bandarbeyla,SO,81.72,few clouds,9.49,50.81,REER XOOSHLE GROUP
77,Port Moresby,PG,86.0,haze,-9.44,147.18,Lamana Hotel
87,Bubaque,GW,81.68,overcast clouds,11.28,-15.83,Casa Dora
88,Hithadhoo,MV,84.31,broken clouds,-0.6,73.08,Scoop Guest House
92,Khandyga,RU,83.8,clear sky,62.67,135.6,Apel'sin
93,Kapaa,US,82.99,overcast clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
96,San Patricio,MX,87.8,scattered clouds,19.22,-104.7,Hotel Cabo Blanco
97,Weiser,US,87.8,clear sky,44.25,-116.97,The Colonial Motel
98,Tabas,IR,87.8,clear sky,33.6,56.92,شرکت معماری مهراز شایگان آراد
102,Alofi,NU,80.6,overcast clouds,-19.06,-169.92,Taloa Heights
103,Itoman,JP,86.0,broken clouds,26.12,127.67,Southern Beach Hotel & Resort Okinawa
104,Corning,US,78.8,clear sky,42.14,-77.05,Fairfield Inn by Marriott Corning Riverside
105,Cayenne,GF,77.0,overcast clouds,4.93,-52.33,Hôtel Le Dronmi
114,Santa Marta,CO,82.0,overcast clouds,11.24,-74.2,Hotel La Ballena Azul
118,Saint Anthony,US,84.2,broken clouds,45.02,-93.22,Holiday Inn Express Roseville-St. Paul
120,Fergus Falls,US,82.99,clear sky,46.28,-96.08,AmericInn by Wyndham Fergus Falls Conference Center
