City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mataura,NZ,2020-06-25 20:57:39,-46.19,168.86,39.0,83,6,3.0
1,Avarua,CK,2020-06-25 20:57:39,-21.21,-159.78,75.2,64,37,5.82
2,Yerbogachen,RU,2020-06-25 20:57:39,61.28,108.01,60.62,71,27,2.75
3,Serenje,ZM,2020-06-25 20:57:40,-13.23,30.24,55.24,89,0,8.5
4,Aklavik,CA,2020-06-25 20:57:40,68.22,-135.01,60.8,63,75,11.41
5,New Norfolk,AU,2020-06-25 20:57:40,-42.78,147.06,44.01,85,0,1.99
6,Luderitz,NA,2020-06-25 20:57:41,-26.65,15.16,57.2,87,2,2.24
7,Lompoc,US,2020-06-25 20:57:41,34.64,-120.46,69.01,68,22,13.87
8,Yellowknife,CA,2020-06-25 20:57:41,62.46,-114.35,62.01,59,75,11.41
9,Gariaband,IN,2020-06-25 20:57:41,20.64,82.06,81.66,70,100,4.21
10,Kapaa,US,2020-06-25 20:57:42,22.08,-159.32,82.99,83,90,8.05
11,Ushuaia,AR,2020-06-25 20:57:42,-54.8,-68.3,37.4,69,40,20.8
12,Klaksvik,FO,2020-06-25 20:57:42,62.23,-6.59,53.6,81,100,6.93
13,Busselton,AU,2020-06-25 20:57:42,-33.65,115.33,50.0,74,53,11.74
14,Charters Towers,AU,2020-06-25 20:57:43,-20.1,146.27,51.08,59,0,6.51
15,Albany,US,2020-06-25 20:57:09,42.6,-73.97,84.99,29,49,2.33
16,Nikolskoye,RU,2020-06-25 20:57:43,59.7,30.79,68.0,68,0,2.24
17,Hasaki,JP,2020-06-25 20:57:43,35.73,140.83,66.2,100,75,4.7
18,Morden,CA,2020-06-25 20:53:19,49.19,-98.1,75.2,100,40,6.93
19,Rikitea,PF,2020-06-25 20:57:44,-23.12,-134.97,74.1,84,65,21.43
20,Clarksburg,US,2020-06-25 20:57:43,39.28,-80.34,82.99,37,20,10.29
21,Sistranda,NO,2020-06-25 20:57:44,63.73,8.83,66.2,52,0,3.36
22,Kuandian,CN,2020-06-25 20:57:45,40.73,124.78,62.11,97,100,3.27
23,Steinbach,DE,2020-06-25 20:57:45,50.17,8.57,73.4,53,0,6.93
24,Beringovskiy,RU,2020-06-25 20:57:45,63.05,179.32,44.74,69,99,9.57
25,Dunedin,NZ,2020-06-25 20:57:45,-45.87,170.5,46.99,85,83,3.0
26,Ozernovskiy,RU,2020-06-25 20:57:46,51.5,156.52,48.04,85,5,6.58
27,Agirish,RU,2020-06-25 20:57:46,61.92,63.02,45.03,81,88,9.22
28,Port Lincoln,AU,2020-06-25 20:57:46,-34.73,135.87,52.02,78,2,2.62
29,Saldanha,ZA,2020-06-25 20:57:46,-33.01,17.94,57.2,93,100,4.7
30,Tasiilaq,GL,2020-06-25 20:57:46,65.61,-37.64,41.0,86,99,10.29
31,Birao,CF,2020-06-25 20:57:47,10.28,22.79,77.36,72,78,4.14
32,Qaanaaq,GL,2020-06-25 20:57:47,77.48,-69.36,39.2,79,8,4.61
33,San Patricio,MX,2020-06-25 20:57:47,19.22,-104.7,93.2,67,75,11.41
34,Upernavik,GL,2020-06-25 20:57:47,72.79,-56.15,37.27,88,49,0.69
35,Punta Arenas,CL,2020-06-25 20:55:06,-53.15,-70.92,39.2,64,15,4.7
36,Bubaque,GW,2020-06-25 20:57:48,11.28,-15.83,81.28,86,100,14.94
37,Vaini,TO,2020-06-25 20:57:48,-21.2,-175.2,73.4,88,75,5.82
38,Kodiak,US,2020-06-25 20:57:49,57.79,-152.41,51.8,76,90,19.46
39,Aswan,EG,2020-06-25 20:54:05,24.09,32.91,85.28,21,0,12.93
40,Dwarka,IN,2020-06-25 20:57:49,22.24,68.97,85.24,79,36,15.37
41,Halifax,CA,2020-06-25 20:53:42,44.65,-63.57,81.0,61,87,8.86
42,Victoria,HK,2020-06-25 20:54:40,22.29,114.16,86.0,74,100,13.0
43,Cape Town,ZA,2020-06-25 20:56:24,-33.93,18.42,59.0,93,90,6.93
44,Ribeira Grande,PT,2020-06-25 20:57:50,38.52,-28.7,68.0,82,75,14.99
45,Poum,NC,2020-06-25 20:57:50,-20.23,164.02,70.63,67,61,15.37
46,Arraial Do Cabo,BR,2020-06-25 20:57:51,-22.97,-42.03,75.2,69,100,9.17
47,Provideniya,RU,2020-06-25 20:57:51,64.38,-173.3,46.4,65,100,11.18
48,Monrovia,LR,2020-06-25 20:57:51,6.3,-10.8,78.28,84,97,13.4
49,Khatanga,RU,2020-06-25 20:57:51,71.97,102.5,69.21,56,100,10.49
50,Talovaya,RU,2020-06-25 20:57:52,51.11,40.73,58.28,83,66,3.76
51,Port Alfred,ZA,2020-06-25 20:57:52,-33.59,26.89,70.0,30,0,7.0
52,Atuona,PF,2020-06-25 20:57:52,-9.8,-139.03,80.01,71,0,14.63
53,Chokurdakh,RU,2020-06-25 20:57:52,70.63,147.92,52.23,53,4,15.41
54,Dongobesh,TZ,2020-06-25 20:57:53,-4.07,35.38,54.57,83,50,8.77
55,Katherine,AU,2020-06-25 20:57:53,-14.47,132.27,59.0,68,4,8.05
56,Praia Da Vitoria,PT,2020-06-25 20:57:53,38.73,-27.07,69.8,77,75,13.13
57,Acajutla,SV,2020-06-25 20:57:53,13.59,-89.83,87.8,45,32,5.82
58,Georgetown,MY,2020-06-25 20:54:37,5.41,100.34,80.6,83,20,6.93
59,Thompson,CA,2020-06-25 20:55:50,55.74,-97.86,64.4,93,90,4.03
60,Ostrovnoy,RU,2020-06-25 20:57:54,68.05,39.51,53.44,68,96,5.46
61,Katsuura,JP,2020-06-25 20:57:54,35.13,140.3,71.01,93,97,1.01
62,Aleksandrovsk-Sakhalinskiy,RU,2020-06-25 20:57:54,50.9,142.16,48.15,92,100,4.29
63,Kargil,IN,2020-06-25 20:57:55,34.57,76.1,53.15,52,42,7.34
64,Maltahohe,NA,2020-06-25 20:57:55,-24.83,16.98,53.47,42,0,11.14
65,Cayenne,GF,2020-06-25 20:57:55,4.93,-52.33,84.2,74,75,8.05
66,Hamilton,US,2020-06-25 20:57:55,39.18,-84.53,84.99,37,90,9.17
67,Tuktoyaktuk,CA,2020-06-25 20:57:56,69.45,-133.04,48.2,49,75,13.87
68,Saint George,US,2020-06-25 20:57:56,37.1,-113.58,102.99,10,1,9.17
69,Prince Rupert,CA,2020-06-25 20:53:50,54.32,-130.32,51.8,93,90,8.05
